,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Europe,Europe,LOC,0.04334929,0.51330314,en,404.00000000,,-1,,,,,,
France,France,GPE,0.00949438,0.49714745,en,171.50000000,,-1,,,,,,
UK,UK,GPE,0.06973047,0.53595129,en,119.90000000,,-1,,,,,,
India,India,GPE,0.10446408,0.59917577,en,108.00000000,,-1,,,,,,
US,US,GPE,0.09430200,0.59456112,en,93.50000000,,-1,,,,,,
U.S.,U.S.,GPE,0.12500967,0.65937114,en,89.70000000,,-1,,,,,,
Australia,Australia,GPE,0.08678859,0.68910717,en,82.50000000,,-1,,,,,,
Germany,Germany,GPE,0.06262614,0.45269746,en,68.00000000,,-1,,,,,,
Britain,Britain,GPE,0.05975448,0.46452468,en,58.80000000,,-1,,,,,,
California,California,GPE,0.02066879,0.71657421,en,56.20000000,,-1,,,,,,
Paris,Paris,GPE,0.06114548,0.58520863,en,49.90000000,4044660-8,2988507,X,48.85340900,2.34880000,EUROPE,France,WCE
Spain,Spain,GPE,0.01287808,0.49381902,en,48.10000000,4055964-6,2510769,X,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Delhi,Delhi,GPE,0.10572758,0.57111453,en,45.80000000,4011371-1,1273294,X,28.65381000,77.22897000,ASIA,India,SAS
England,England,GPE,0.09846480,0.62638423,en,45.20000000,4014770-8,6269131,X,52.16044900,-0.70312000,EUROPE,United Kingdom,NEU
Western Europe,Western Europe,LOC,0.02920904,0.24024185,en,41.60000000,,-1,,,,,,
the United States,the United States,GPE,0.10602484,0.68971935,en,37.00000000,,-1,,,,,,
Earth,Earth,LOC,0.23034163,1.03470896,en,32.10000000,,-1,,,,,,
Victoria,Victoria,GPE,-0.02802933,0.49201235,en,31.60000000,,-1,,,,,,
London,London,GPE,0.13768033,0.57130107,en,28.20000000,4074335-4,2643743,X,51.50853000,-0.12574000,EUROPE,United Kingdom,NEU
Ireland,Ireland,GPE,0.04284237,0.58799332,en,24.55000000,4027667-3,2963597,X,53.00000000,-8.00000000,EUROPE,Ireland,NEU
Southwest,Southwest,LOC,0.09648870,0.46321549,en,23.10000000,,-1,,,,,,
United States,United States,GPE,0.06862966,0.72188518,en,23.10000000,,-1,,,,,,
Ukraine,Ukraine,GPE,0.19876823,0.64034898,en,22.80000000,4061496-7,690791,X,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Japan,Japan,GPE,0.02043338,0.66189346,en,22.50000000,4028495-5,1861060,X,35.68536000,139.75308900,ASIA,Japan,EAS
Italy,Italy,GPE,0.10312771,0.51615440,en,22.00000000,,-1,,,,,,
China,China,GPE,0.14080256,0.51541557,en,20.80000000,4009937-4,1814991,X,35.00000000,105.00000000,ASIA,China,EAS
Canada,Canada,GPE,0.10836939,0.95949498,en,20.70000000,4029456-0,6251999,X,60.10866900,-113.64257900,NORTH-AMERICA,Canada,NWN
Southern California,Southern California,LOC,0.03230298,0.36654135,en,19.95000000,,-1,,,,,,
Arizona,Arizona,GPE,0.04103931,0.42148811,en,19.80000000,4002920-7,5551752,X,34.50030000,-111.50097900,NORTH-AMERICA,United States,WNA
America,America,GPE,0.04689876,0.48311456,en,18.60000000,,-1,,,,,,
Los Angeles,Los Angeles,GPE,0.22625448,0.46027479,en,18.60000000,,-1,,,,,,
Iran,Iran,GPE,0.08614147,0.43597450,en,18.30000000,4027653-3,130758,X,32.00000000,53.00000000,ASIA,Iran,WCA
Switzerland,Switzerland,GPE,0.00092081,0.18876611,en,18.10000000,,-1,,,,,,
