,phrase,label,sentiment,subjectivity,language,count
Met Éireann,Met Éireann,PERSON,0.22928424309376688,0.9374094159808445,en,11.700000000000001
Jannik Sinner,Jannik Sinner,PERSON,0.200185824013949,0.7137061838624336,en,9.600000000000001
Donald Trump,Donald Trump,PERSON,0.0796286926157056,0.5333728440871299,en,7.699999999999998
El Nino,El Nino,PERSON,0.08441840277777778,0.6614583333333334,en,6.3999999999999995
Zohran Mamdani,Zohran Mamdani,PERSON,0.16737012987012986,0.6278409090909091,en,5.6
Roland Garros,Roland Garros,PERSON,0.18992248062015504,0.5550018456995202,en,4.3
Andy Burnham,Andy Burnham,PERSON,-0.071875,0.4125,en,4.0
Aryna Sabalenka,Aryna Sabalenka,PERSON,0.16576576576576577,0.5335135135135135,en,3.7
Angela Rayner,Angela Rayner,PERSON,-0.07352941176470587,0.764705882352941,en,3.4000000000000004
Rafael Nadal,Rafael Nadal,PERSON,0.3751458916900092,0.6924603174603174,en,3.4000000000000004
Ahn Bo-hyun,Ahn Bo-hyun,PERSON,0.08663101604278074,0.5544563279857397,en,3.4000000000000004
Rujuta Diwekar,Rujuta Diwekar,PERSON,0.27124183006535946,0.6307189542483659,en,3.4000000000000004
Lee Jae Myung,Lee Jae Myung,PERSON,-0.024509803921568627,0.8700980392156862,en,3.4000000000000004
Korey Stringer,Korey Stringer,PERSON,-0.061274509803921566,0.2214052287581699,en,3.4000000000000004
Doug Bostrom,Doug Bostrom,PERSON,0.015692848020434223,0.6928639846743294,en,2.9000000000000004
Didier Deschamps,Didier Deschamps,PERSON,0.05172413793103448,0.9353448275862067,en,2.9000000000000004
Pedro Sanchez,Pedro Sanchez,PERSON,0.0,0.22988505747126436,en,2.9000000000000004
Rachel Feltman,Rachel Feltman,PERSON,0.9757836990595613,1.4218652037617556,en,2.8999999999999995
Novak Djokovic,Novak Djokovic,PERSON,0.18557692307692306,0.4009615384615384,en,2.6
Emmanuel Macron,Emmanuel Macron,PERSON,0.051282051282051266,0.4519230769230769,en,2.6
Bob Henson,Bob Henson,PERSON,0.09326923076923076,0.6961538461538461,en,2.6
Simon King,Simon King,PERSON,0.2221153846153846,0.4509615384615384,en,2.6
Candice Swanepoel,Candice Swanepoel,PERSON,-0.06684981684981685,0.9990842490842491,en,2.6
Audrey Pulvar,Audrey Pulvar,PERSON,-0.07307692307692308,0.39615384615384613,en,2.6
Frank Lampard,Frank Lampard,PERSON,0.27472527472527475,0.4395604395604395,en,2.6
Amit Shah,Amit Shah,PERSON,-0.028846153846153848,0.07692307692307691,en,2.6
António Guterres,António Guterres,PERSON,0.11818181818181817,0.42727272727272725,en,2.6
LeBron James,LeBron James,PERSON,0.21474358974358973,0.36217948717948717,en,2.6
Al Gore,Al Gore,PERSON,-0.2708333333333333,0.8333333333333334,en,2.4
Xiu Xiu,Xiu Xiu,PERSON,0.07638888888888888,0.14814814814814817,en,2.4
Bill Gates,Bill Gates,PERSON,0.026455026455026447,0.5873015873015872,en,2.1000000000000005
